state_name,has_gig_law,law_passed_date,gazette_date,enforcement_status,protection_status,key_features
Andhra Pradesh,No,,,No Law,No_Law,
Arunachal Pradesh,No,,,No Law,No_Law,
Assam,No,,,No Law,No_Law,
Bihar,Yes,2025-05-01,2025-07-24,Enforced,Enforced,"Unique IDs, maternity leave, accident compensation Rs 4 lakh, disability and hospitalization aid, welfare fund"
Chhattisgarh,No,,,No Law,No_Law,
Delhi,No,,,Discussions,Discussions,Ongoing policy discussions and labour-code implementation. No formal Act yet
Goa,No,,,No Law,No_Law,
Gujarat,No,,,In Progress,In_Progress,Welfare board and welfare fund proposals under consideration in 2026
Haryana,No,,,No Law,No_Law,
Himachal Pradesh,No,,,No Law,No_Law,
Jharkhand,Yes,2025-08-01,2026-01-06,Enforced,Enforced,"Welfare Board, minimum wages, insurance, maternity benefits, penalties up to Rs 10 lakh"
Karnataka,Yes,2025-09-11,2025-09-12,Enforced,Enforced,"Welfare Board, mandatory registration, welfare fund, algorithm transparency, grievance via IPGRS. Live May 2026"
Kerala,No,,,Discussions,Discussions,Ongoing policy discussions and labour-code implementation affecting gig workers. No formal Act yet
Madhya Pradesh,No,,,No Law,No_Law,
Maharashtra,No,,,In Progress,In_Progress,Draft proposals 2025-26. Health insurance and worker registration schemes under consideration
Manipur,No,,,No Law,No_Law,
Meghalaya,No,,,No Law,No_Law,
Mizoram,No,,,No Law,No_Law,
Nagaland,No,,,No Law,No_Law,
Odisha,No,,,No Law,No_Law,
Punjab,No,,,No Law,No_Law,
Rajasthan,Yes,2023-07-24,2023-08-01,Enforced,Enforced,"India's first gig law. Welfare Board, mandatory registration, welfare fund, accident insurance, grievance redressal, fines up to Rs 5 lakh"
Sikkim,No,,,No Law,No_Law,
Tamil Nadu,Partial,2023-01-01,,Partial,Partial,Not a standalone gig law. Existing welfare board protections extended to include platform and gig workers in 2023
Telangana,Yes,2026-03-01,,Enforced,Enforced,"5th Indian state with dedicated gig workers act. Registration, welfare board, social security schemes. Passed March-May 2026"
Tripura,No,,,No Law,No_Law,
Uttar Pradesh,No,,,No Law,No_Law,
Uttarakhand,No,,,No Law,No_Law,
West Bengal,No,,,No Law,No_Law,
Andaman and Nicobar Islands,No,,,No Law,No_Law,
Chandigarh,No,,,No Law,No_Law,
Dadra and Nagar Haveli and Daman and Diu,No,,,No Law,No_Law,
Jammu and Kashmir,No,,,No Law,No_Law,
Ladakh,No,,,No Law,No_Law,
Lakshadweep,No,,,No Law,No_Law,
Puducherry,No,,,No Law,No_Law,
